date,buys,sells,total
2024-12-03,20,0,20
2025-01-03,1,1,20
2025-02-03,2,2,20
2025-03-03,1,1,20
2025-04-03,4,4,20
2025-05-06,8,8,20
2025-06-03,1,1,20
