code,jq_code,industry,sw_code,name,pe_ttm,pb,market_cap,turnover_ratio,roe,revenue_growth,gross_margin,net_margin,eps,cashflow_quality,risk_flag,risk_details,pe_inverse,gross_margin_change,roe_rank,revenue_growth_rank,cashflow_quality_rank,pe_inverse_rank,gross_margin_change_rank,fundamental_score,industry_trend_score,company_quality_score,research_score_raw,research_score,vc_heat,report_sentiment,intel_score_raw,intelligence_score,supply_chain_adj,composite_score,composite_rank
601808,601808.XSHG,oil,801962,中海油服,18.2101,1.5454,710.49,0.4051,2.75,3.6,19.53,11.39,0.261,1.8885292169257544,False,,0.0549145803702341,19.53,0.8666666666666667,0.7111111111111111,0.4,0.8387096774193549,0.7555555555555555,0.7207168458781363,0.6,0.8,0.72,1.0,0.3,0.68,0.4425,0.0,1.0,0.6905376344086023,2.0
603619,603619.XSHG,oil,801962,中曼石油,20.1155,2.3624,102.7316,3.1776,3.59,-11.44,45.8,15.15,0.3313,3.847714319946134,False,,0.049712907956550915,45.8,0.9555555555555556,0.37777777777777777,0.5777777777777777,0.7419354838709677,0.9555555555555556,0.6974432497013142,0.6,0.5,0.54,0.4000000000000002,0.3,0.68,0.4425,0.0,1.0,0.5830824372759857,7.0
603727,603727.XSHG,oil,801962,博迈科,136.0901,1.261,40.0605,0.9526,0.35,-59.91,20.22,3.94,0.0391,7.418549665795211,False,,0.007348073078056376,20.22,0.4444444444444444,0.022222222222222223,0.7777777777777778,0.22580645161290322,0.7777777777777778,0.3915890083632019,0.6,0.5,0.54,0.4000000000000002,0.3,0.68,0.4425,0.0,1.0,0.35369175627240146,34.0
000059,000059.XSHE,oil,801963,华锦股份,-3.6732,0.8378,84.4506,1.1226,-3.94,205.27,12.76,-3.91,-0.2529,1.9094155511184676,False,,,12.76,0.1111111111111111,0.9777777777777777,0.4222222222222222,,0.4888888888888889,0.4814814814814814,0.6,0.5,0.54,0.4000000000000002,0.3,0.68,0.4425,0.0,1.0,0.4211111111111111,27.0
000096,000096.XSHE,oil,801963,广聚能源,103.4843,2.2485,62.832,2.0871,0.77,-29.51,13.07,6.4,0.0404,-0.3299253122436931,False,,0.009663301582945432,13.07,0.6,0.06666666666666667,0.15555555555555556,0.2903225806451613,0.5111111111111111,0.3216726403823178,0.6,0.4,0.48,0.2,0.3,0.68,0.4425,0.0,1.0,0.2712544802867384,42.0
000301,000301.XSHE,oil,801963,东方盛虹,-88.3413,1.9859,663.7675,0.8737,-0.75,-11.91,9.48,-0.89,-0.0393,-32.255701522431934,False,,,9.48,0.24444444444444444,0.3333333333333333,0.044444444444444446,,0.4,0.27259259259259255,0.6,0.7,0.6599999999999999,0.7999999999999998,0.3,0.68,0.4425,0.0,1.0,0.3244444444444444,37.0
000554,000554.XSHE,oil,801963,泰山石油,21.410999999999998,2.9428,34.0882,4.6325,1.93,-5.54,14.56,2.71,0.0452,2.8670943526703154,False,,0.046704964737751625,14.56,0.7555555555555555,0.5333333333333333,0.5111111111111111,0.6774193548387096,0.5333333333333333,0.6221744324970132,0.6,0.3,0.42,0.0,0.3,0.68,0.4425,0.0,1.0,0.46663082437275993,22.0
000637,000637.XSHE,oil,801963,茂化实华,-40.3576,4.5538,25.2659,5.0878,-1.98,-11.88,3.27,-1.73,-0.0213,4.11401411596287,False,,,3.27,0.15555555555555556,0.35555555555555557,0.6,,0.15555555555555556,0.3437037037037037,0.6,0.3,0.42,0.0,0.3,0.68,0.4425,0.0,1.0,0.2577777777777778,43.0
000703,000703.XSHE,oil,801963,恒逸石化,112.3325,1.1288,262.9911,1.808,0.02,-7.07,4.49,-0.09,0.0012,-20.64777450782438,False,,0.008902143190973226,4.49,0.3111111111111111,0.4666666666666667,0.06666666666666667,0.25806451612903225,0.2222222222222222,0.29070489844683395,0.6,0.6,0.6,0.6,0.3,0.68,0.4425,0.0,1.0,0.30802867383512544,40.0
000819,000819.XSHE,oil,801963,岳阳兴长,-179.6152,3.4836,73.9009,10.419,-0.11,7.74,15.27,0.1,-0.0063,17.86017552605131,False,,,15.27,0.28888888888888886,0.8222222222222222,0.9111111111111111,,0.5555555555555556,0.6014814814814814,0.6,0.4,0.48,0.2,0.3,0.68,0.4425,0.0,1.0,0.48111111111111104,17.0
000985,000985.XSHE,oil,801963,大庆华科,-811.8624,4.1042,25.2408,2.7185,0.68,-12.12,5.83,0.88,0.0321,7.376041103916035,False,,,5.83,0.5777777777777777,0.3111111111111111,0.7555555555555555,,0.26666666666666666,0.5111111111111111,0.6,0.3,0.42,0.0,0.3,0.68,0.4425,0.0,1.0,0.3833333333333333,30.0
001316,001316.XSHE,oil,801963,润贝航科,30.1559,3.2448,40.5619,1.829,3.27,14.41,29.74,13.98,0.3532,-0.18185564162282108,False,,0.03316100663551743,29.74,0.9111111111111111,0.8666666666666667,0.17777777777777778,0.5806451612903226,0.8888888888888888,0.7070489844683392,0.6,0.6,0.6,0.6,0.3,0.68,0.4425,0.0,1.0,0.6202867383512544,4.0
002221,002221.XSHE,oil,801963,东华能源,34.2914,1.1969,133.0252,0.8779,0.08,-24.95,5.78,0.14,0.0057,41.130902512874364,False,,0.029161830663081704,5.78,0.35555555555555557,0.15555555555555556,0.9777777777777777,0.5161290322580645,0.24444444444444444,0.4406690561529272,0.6,0.6,0.6,0.6,0.3,0.68,0.4425,0.0,1.0,0.4205017921146954,28.0
002377,002377.XSHE,oil,801963,国创高新,-74.1492,6.4768,28.680999999999997,2.3234,-5.81,48.13,7.08,-7.66,-0.0289,1.4589341293373932,False,,,7.08,0.08888888888888889,0.9111111111111111,0.37777777777777777,,0.3111111111111111,0.43555555555555553,0.6,0.3,0.42,0.0,0.3,0.68,0.4425,0.0,1.0,0.32666666666666666,36.0
002408,002408.XSHE,oil,801963,齐翔腾达,-45.7662,1.2473,142.1422,0.8190000000000001,-1.46,6.75,2.57,-2.77,-0.0594,-0.6285210068748704,False,,,2.57,0.17777777777777778,0.8,0.13333333333333333,,0.1,0.37259259259259264,0.6,0.6,0.6,0.6,0.3,0.68,0.4425,0.0,1.0,0.36944444444444446,32.0
002476,002476.XSHE,oil,801963,宝莫股份,51.5363,3.8054,36.5364,3.6568,2.32,6.46,16.99,11.9,0.036000000000000004,0.46309783001833105,False,,0.019403798875743894,16.99,0.8222222222222222,0.7777777777777778,0.26666666666666666,0.45161290322580644,0.6666666666666666,0.6394743130227001,0.6,0.4,0.48,0.2,0.3,0.68,0.4425,0.0,1.0,0.5096057347670251,15.0
